"Id","SalePrice"
1461,124412.6456
1462,150667.483833333
1463,185321.253533333
1464,196193.518
1465,189635.364966667
1466,178244.0808
1467,163298.740566667
1468,174001.228966667
1469,171822.272733333
1470,126356.8428
1471,187576.224
1472,96795.5864
1473,97731.2739
1474,159000.919166667
1475,104935.3353
1476,359101.927133333
1477,252233.102066667
1478,318798.8356
1479,300919.2927
1480,425301.268733333
1481,323023.080466667
1482,206033.448366667
1483,182666.023433333
1484,165311.5488
1485,182343.443333333
1486,194438.508466667
1487,353297.577766667
1488,215865.3093
1489,191566.594666667
1490,200115.9206
1491,199142.713166667
1492,91251.6572666667
1493,179154.011533333
1494,289822.8921
1495,292960.913966667
1496,213992.8611
1497,179397.743738095
1498,160718.595366667
1499,159545.6963
1500,170448.083633333
1501,176972.5451
1502,152172.839833333
1503,262341.306666667
1504,249095.599766667
1505,208825.301133333
1506,177296.5558
1507,262630.907566667
1508,195842.070566667
1509,158958.993433333
1510,150339.733333333
1511,153684.968233333
1512,176316.233866667
1513,156744.037533333
1514,147260.664
1515,180596.1536
1516,163769.3775
1517,147328.0948
1518,135752.688933333
1519,208145.2937
1520,138140.0898
1521,140926.6304
1522,163134.683333333
1523,122550.6186
1524,131244.626033333
1525,125155.808566667
1526,130124.0361
1527,111332.510833333
1528,129540.037066667
1529,144506.481666667
1530,165195.367466667
1531,147151.262566667
1532,100374.409966667
1533,142664.173233333
1534,120101.2072
1535,158396.5808
1536,117112.552433333
1537,91538.3163
1538,156780.557466667
1539,225478.053566667
1540,151195.087866667
1541,144631.300633333
1542,140893.347833333
1543,194314.438033333
1544,85332.2251666667
1545,114550.175166667
1546,128590.5418
1547,142396.422566667
1548,129111.3891
1549,120358.060433333
1550,150132.660533333
1551,114466.047
1552,156203.433933333
1553,157255.5727
1554,120363.1495
1555,170147.838633333
1556,108792.261833333
1557,103895.035866667
1558,93738.5887
1559,136515.715666667
1560,150241.843533333
1561,142296.8651
1562,129677.840666667
1563,128646.907033333
1564,152990.575633333
1565,155139.029533333
1566,212035.4358
1567,86484.5437333333
1568,236819.213266667
1569,167060.110133333
1570,140328.850333333
1571,131990.574466667
1572,138359.051666667
1573,223206.182666667
1574,136539.052366667
1575,197915.8412
1576,209523.5662
1577,189233.515633333
1578,156611.6477
1579,136257.402166667
1580,181535.409466667
1581,138363.937833333
1582,128660.113666667
1583,300676.989933333
1584,233389.968966667
1585,140714.986566667
1586,80620.8005333334
1587,118859.869966667
1588,141270.589266667
1589,102900.4536
1590,126076.3287
1591,103693.038166667
1592,120035.9111
1593,125481.369466667
1594,159354.617966667
1595,139725.8325
1596,204196.915233333
1597,166267.2221
1598,218986.9445
1599,165675.3365
1600,174674.919766667
1601,92655.3774
1602,119465.6398
1603,99493.1555
1604,276686.861733333
1605,267491.5358
1606,164150.6561
1607,164812.163
1608,232842.894466667
1609,185073.999733333
1610,174747.5129
1611,153408.090333333
1612,185022.651066667
1613,166619.818633333
1614,110365.086966667
1615,93383.5394333333
1616,90967.6765333333
1617,92859.345
1618,125005.327066667
1619,140688.335333333
1620,153342.040533333
1621,147997.179333333
1622,143349.6583
1623,250443.7558
1624,225707.4466
1625,123103.958
1626,168020.889166667
1627,181914.7375
1628,293674.6547
1629,181636.627933333
1630,284892.796633333
1631,205910.836333333
1632,237534.846333333
1633,172994.288933333
1634,181978.145266667
1635,183909.526266667
1636,164989.2938
1637,188539.8921
1638,217456.947066667
1639,175853.284566667
1640,262555.032266667
1641,176126.706133333
1642,235291.96
1643,226604.935366667
1644,240869.3966
1645,177114.1269
1646,155230.4055
1647,154847.0554
1648,134759.418
1649,138125.3403
1650,126116.826166667
1651,120239.886333333
1652,99485.0028666667
1653,101595.324466667
1654,158862.789133333
1655,136129.545633333
1656,153033.695166667
1657,157150.549033333
1658,152590.954066667
1659,106375.935733333
1660,149284.761666667
1661,411722.559766667
1662,397266.708666667
1663,346227.495266666
1664,461679.5724
1665,315142.859633333
1666,330173.800966667
1667,386658.265933333
1668,333375.210566667
1669,311680.6473
1670,337879.548433333
1671,232392.287166667
1672,402342.434366667
1673,305692.4017
1674,258717.265866667
1675,197523.318433333
1676,199116.307966667
1677,204520.0864
1678,434569.198033333
1679,366073.648333333
